,average_act
6263,18.1
5760,23.4004884004884
223,23.009768009768
6807,14.3894993894994
1734,18.1501831501831
6271,21.3
4687,21.959706959707
3888,17.7106227106227
3105,20.3
4327,19.2979242979243
3134,18.3
7806,22.6
885,19.8
1369,19.1
5522,19.004884004884
7116,16.978021978022
185,15.7326007326007
4448,22.1062271062271
2073,21.0
5112,23.0
7315,20.2991452991453
2538,26.2087912087912
3686,23.3516483516484
2851,20.6
7034,18.1257631257631
3825,21.9352869352869
2082,19.1
5654,21.031746031746
4859,24.0
7899,22.7
5427,13.7545787545788
4336,21.6910866910867
6776,19.6398046398046
4918,22.0
201,19.8840048840049
5568,20.6166056166056
1029,20.0
2430,28.2356532356532
2976,20.1
6962,19.2002442002442
826,16.2698412698413
184,20.4700854700855
735,20.5921855921856
3427,19.8
6452,19.7863247863248
6724,20.7387057387057
754,15.7326007326007
3990,17.1733821733822
1070,16.2
2570,19.7
3511,21.0
5993,23.2783882783883
4852,17.0
3982,16.4163614163614
1735,20.5531135531136
2193,17.6
3431,15.2
6862,17.6617826617827
6708,18.956043956044
797,19.004884004884
5311,23.0
2137,19.3
7614,22.3
6399,23.034188034188
3554,20.9340659340659
1109,21.9
6134,19.0
226,18.980463980464
6972,19.8351648351648
5746,22.5702075702076
1445,20.2
6239,19.2
1557,20.4896214896215
3987,17.5641025641026
3806,22.7411477411477
16,17.969474969475
4316,22.7167277167277
1356,18.1
2617,16.3
7874,23.2
1343,22.5
7321,22.8632478632479
6031,24.1
3059,18.7
2814,17.3
5250,22.0
2456,21.1050061050061
6327,21.5689865689866
2978,20.2
7253,19.5909645909646
5431,14.8534798534799
3054,19.1
2335,16.2210012210012
7021,20.2747252747253
3155,15.6
7362,22.3992673992674
6701,15.4639804639805
2775,13.4
1613,17.2075702075702
188,14.8778998778999
1417,17.9
7737,23.8
2813,17.6
3112,20.2
4795,17.0
6662,18.7118437118437
7438,23.962148962149
5731,21.1782661782662
2808,19.9
7115,18.7118437118437
435,23.4737484737485
6700,16.0989010989011
5974,21.4713064713065
6183,17.8
5830,13.1684981684982
2824,23.6
7888,22.2
3928,16.0744810744811
552,19.8595848595849
2467,25.7203907203907
542,19.9328449328449
1781,21.0683760683761
2984,18.6
7453,21.9352869352869
3710,17.4175824175824
7240,19.4444444444444
547,23.1074481074481
7167,20.2014652014652
945,21.8
5990,20.2747252747253
936,19.8
5373,21.0
2833,20.5
996,15.9
2795,15.6
3952,17.979242979243
2922,19.1
744,19.5421245421245
1096,22.5
7192,23.2783882783883
5632,22.2527472527473
1197,18.7
2850,21.5
2160,20.9
353,14.5848595848596
4187,16.8070818070818
6180,19.1
1709,19.4639804639805
4834,23.0
5706,21.6422466422466
2215,18.3
5489,18.1746031746032
2980,18.0
3415,21.8
6249,19.4
2832,20.8
6113,18.0
5818,15.2197802197802
1293,20.8
57,19.3223443223443
4927,21.0
2992,20.4
1772,22.2820512820513
4205,16.3431013431013
2647,20.9
6100,21.3
2694,21.2
6547,21.6910866910867
1272,20.7
3809,20.6166056166056
1715,18.5750915750916
4597,20.030525030525
4459,16.3919413919414
3369,19.9
3347,21.3
6928,24.2796092796093
4047,16.8803418803419
937,19.4
6407,23.7912087912088
2729,19.9
7138,16.5628815628816
3401,23.4
5788,14.2673992673993
2504,21.984126984127
1135,20.0
6858,22.1794871794872
2900,18.6
2199,18.8
3701,22.8632478632479
2288,24.4017094017094
4118,17.2222222222222
4791,20.0
